,Date,Duration,Distance,Steps,Calories
1,1-01-15,4604,6.214,8051,374
2,1-05-14,1992,1.938,3019,116
3,1-06-14,6065,6.28,9465,379
4,1-07-14,6292,6.259,9045,375
5,1-08-14,90,0.056,113,3
6,1-09-14,7128,8.759,11278,527
7,1-10-14,2397,2.572,4046,155
8,1-11-14,5591,6.479,7513,388
9,1-12-14,775,0.666,1123,39
10,2-05-14,1780,1.881,2617,114
11,2-06-14,952,0.718,1275,44
12,2-07-14,1103,0.828,1468,49
13,2-08-14,4456,4.416,5474,265
14,2-09-14,1189,1.104,1649,66
15,2-10-14,1574,1.639,2362,99
16,2-11-14,1543,1.596,2265,96
17,2-12-14,2470,3.204,4002,194
18,3-06-14,2918,3.278,4452,199
19,3-07-14,2864,2.726,3711,165
20,3-08-14,1335,1.203,1637,72
21,3-09-14,1144,1.084,1667,66
22,3-10-14,2161,2.38,3014,144
23,3-11-14,2055,2.046,3120,122
24,3-12-14,3929,4.507,5883,270
25,4-06-14,2895,2.798,3721,170
26,4-07-14,2615,2.589,3654,155
27,4-08-14,1328,1.34,2029,80
28,4-09-14,2053,2.015,2648,121
29,4-10-14,6739,6.808,10931,410
30,4-11-14,2011,2.054,2834,122
31,4-12-14,2989,3.659,4582,219
32,5-05-14,2214,2.631,3744,159
33,5-06-14,8000,7.845,11059,473
34,5-07-14,2289,2.067,2838,124
35,5-08-14,540,0.541,802,32
36,5-09-14,2934,3.226,4401,193
37,5-10-14,1677,1.402,2425,86
38,5-11-14,644,0.525,839,32
39,5-12-14,2466,2.469,4005,149
40,6-05-14,2250,2.363,3304,141
41,6-06-14,8294,8.795,12481,531
42,6-07-14,3130,2.67,3795,161
43,6-08-14,1467,1.415,1997,85
44,6-09-14,4166,4.637,3751,280
45,6-10-14,4598,3.988,6242,242
46,6-11-14,1668,1.461,2250,87
47,6-12-14,2656,2.259,3556,137
48,7-05-14,1537,1.484,2193,90
49,7-06-14,1266,0.936,1494,55
50,7-07-14,3297,3.152,4362,190
